DATE,GDP_Growth,Sentiment
2000-04-01,0.6059555566001018,-11.229881801333335
2000-07-01,0.2934145830084889,-9.091710003666666
2000-10-01,0.2361878718459387,-3.764047936333333
2001-01-01,1.1649692418608248,-8.909756850333332
2001-04-01,0.7722871322038971,-14.225820673333333
2001-07-01,0.7715542405850817,-16.119782913333335
2001-10-01,0.39213989800801485,-23.62952380666667
2002-01-01,0.39162207582512654,-18.45899448666667
2002-04-01,0.4899675187865382,-12.334648213333333
2002-07-01,0.6647986159637131,-9.371141150666666
2002-10-01,0.7895335293138794,-11.281039465666666
2003-01-01,0.7443862851098881,-17.011046176666667
2003-04-01,0.9127577416026211,-18.32742819666667
2003-07-01,1.1390784902108209,-17.72729349
2003-10-01,0.9303347465643874,-12.374895211999998
2004-01-01,0.35117796410639723,-3.120706917333333
2004-04-01,0.36804755396335764,-1.101396458333333
2004-07-01,0.1794792889376895,-1.4210459946666667
2004-10-01,0.25102579498290645,-3.248117898666667
2005-01-01,0.7971926572512,-3.892238884333333
2005-04-01,1.1750458711779155,-14.874379496666668
2005-07-01,1.0546839559271382,-12.445756730333335
2005-10-01,1.3703737803851368,-11.454825853000001
2006-01-01,0.4650177862905114,-10.660393561666666
2006-04-01,0.2702420565667829,-4.431588696666666
2006-07-01,0.09280178450408183,-2.026179117
2006-10-01,0.46614170877152805,-2.106858764333333
2007-01-01,0.9427938500069954,2.1276153460000002
2007-04-01,0.5638526298278101,4.901629693666667
2007-07-01,0.7649603648933301,2.839055798
2007-10-01,0.5105735901778763,0.4601223703333334
2008-01-01,0.536672198732302,1.2514579303333333
2008-04-01,-0.5595908011735706,-7.319573971
2008-07-01,-1.562480797614385,-15.186539644333331
2008-10-01,-2.0605214056970023,-30.75286667
2009-01-01,-1.6888114833282009,-43.39995261333333
2009-04-01,-0.18989172942577293,-35.53598696666666
2009-07-01,0.12366827354759469,-25.538200313333334
2009-10-01,0.34245982883367443,-17.969449523333335
2010-01-01,0.6414324437184149,-14.955882336666667
2010-04-01,1.029843000524,-7.9765562176666664
2010-07-01,0.7295928328893364,-3.2181272133333336
2010-10-01,0.03354310772065716,-1.5124326306666667
2011-01-01,0.36105523155172126,2.0395280833333334
2011-04-01,0.08566096160718129,1.4733184726666666
2011-07-01,0.3363638849696038,-4.343854126666667
2011-10-01,0.13092212687071392,-13.279917136666668
2012-01-01,0.6927936415609404,-3.070809516666667
2012-04-01,-0.14699600655978529,-6.739633345333334
2012-07-01,1.2189899121944903,-6.6923844279999996
2012-10-01,-0.2165930674315586,-5.393611722666667
2013-01-01,0.5290991236818421,-7.062932415666666
2013-04-01,0.8040160447704725,-7.617886142000001
2013-07-01,0.9347865508356534,3.6295377196666667
2013-10-01,0.641956352067452,7.266803755333332
2014-01-01,0.7680282918530956,4.054527578333333
2014-04-01,0.6509945329495448,8.497356494666667
2014-07-01,0.5642389620001298,5.957357123
2014-10-01,0.5854286565889932,4.154312024333334
2015-01-01,0.5411163605957725,4.724353516666667
2015-04-01,0.7467677851695775,0.27811731633333325
2015-07-01,0.3871736100733658,-0.3792967296666667
2015-10-01,0.6561647920064972,-5.182168966
2016-01-01,0.19904445259089076,-4.937347245333334
2016-04-01,0.45270134842798626,-0.3850751193333333
2016-07-01,0.30553075926369466,-0.60395731
2016-10-01,0.5966763494364757,4.143581036666666
2017-01-01,0.4960920161167115,9.289806211666667
2017-04-01,0.2929159130186543,9.509653568666666
2017-07-01,0.4234145034198056,12.169572344
2017-10-01,0.3550013223451609,10.356409994666667
2018-01-01,0.06903407940521689,5.0761335690000005
2018-04-01,0.3826281372553586,4.292692168333333
2018-07-01,0.5964587565228552,7.055988590999999
2018-10-01,0.16676138336089164,5.346997257999999
2019-01-01,0.5523786296645739,0.41610492933333304
2019-04-01,0.13839983830303826,-9.038060995666667
2019-07-01,0.4972746037259945,-16.834735373333334
2019-10-01,0.017251366790271838,-16.326419206666667
2020-01-01,-3.0190814555274725,-15.350491136666667
2020-04-01,-18.7526849659561,-44.48170915666666
2020-07-01,16.003476707268494,-20.841245776666668
